Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Organization Name Modified,id,name modified,url,stagename,Time Since Announced,Month,Classification
deco.cx,https://www.crunchbase.com/organization/deco-cx,Pre Seed Round - deco.cx,https://www.crunchbase.com/funding_round/deco-cx-pre-seed--f66c10d3,2700000.0,USD,2700000.0,Pre-Seed,Developer Tools,2022-12-22,,Mario Augusto Sá,Seed,500000.0,USD,500000.0,,,,Yes,deco.cx is a digital experience platform that makes it easy to build high-performance ecommerce storefronts.,,deco.cx,,Seed,4,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2022,deco.cx,21956.0,deco,deco.cx,Opportunity,616,12,Lost to another players
Klubi,https://www.crunchbase.com/organization/klubi,Venture Round - Klubi,https://www.crunchbase.com/funding_round/klubi-series-unknown--561cad3b,62500000.0,BRL,11739757.0,Venture - Series Unknown,"Credit, Financial Services, FinTech",2022-12-22,,"Guilherme Bonifacio, Igah Ventures, Paulo Veras",,30000000.0,BRL,5805852.0,,,,Yes,"Klubi is a fintech company that provides credit facilities in a simple, transparent, secure and truly digital experience.",,klubi.com.br,,,2,"São Paulo, Sao Paulo, Brazil, South America",2022,klubi,19293.0,klubi,klubi.com.br,Discard,616,12,Pendente Classificação
SouRev,https://www.crunchbase.com/organization/revpay-4c42,Seed Round - SouRev,https://www.crunchbase.com/funding_round/revpay-4c42-seed--6b9cf0c8,,USD,,Seed,"FinTech, Funding Platform, Online Portals",2022-12-23,Darwin Startups,"Bossanova Investimentos, Darwin Startups",Seed,,,,,,,Yes,SouRev is a microcredit granting platform.,,sourev.com.br,,Seed,1,"Macapá, Amapa, Brazil, South America",2022,sourev,,,,Nao tivemos acesso,615,12,Nao tivemos acesso
Cromai,https://www.crunchbase.com/organization/cromai,Series A - Cromai,https://www.crunchbase.com/funding_round/cromai-series-a--42d0fae8,20000000.0,BRL,3767652.0,Series A,"AgTech, Artificial Intelligence (AI), Information Technology, Machine Learning, Software",2022-12-27,Baraúna Venture Capital,Baraúna Venture Capital,Early Stage Venture,15000000.0,BRL,2833770.0,,,,Yes,Cromai takes agronomic management to the next level of efficiency with digital solutions based on artificial intelligence.,,cromai.com,,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2022,cromai,5414.0,cromai,cromai.com,Discard,611,12,Dúvida
Clicksign,https://www.crunchbase.com/organization/clicksign,Venture Round - Clicksign,https://www.crunchbase.com/funding_round/clicksign-series-unknown--c7b6d7cf,3200000.0,USD,3200000.0,Venture - Series Unknown,"Communications Infrastructure, Document Management, E-Signature, Information Technology, Software",2022-12-28,SaaSholic,"SaaSholic, Sun Moritz",,3200000.0,USD,3200000.0,,,,Yes,Clicksign is a provider of an electronic document signature platform.,,clicksign.com,,,2,"São Paulo, Sao Paulo, Brazil, South America",2022,clicksign,1154.0,clicksign,clicksign.com,Discard,610,12,Pendente Classificação
Kanastra,https://www.crunchbase.com/organization/kanastra,Seed Round - Kanastra,https://www.crunchbase.com/funding_round/kanastra-seed--52968a3f,33797096.0,USD,33797096.0,Seed,"Asset Management, Banking, Financial Services",2022-12-28,,"Actyus, Crestone Venture Capital, Endeavor, QED Investors, Quona Capital, Scale-Up Ventures, Valor Capital Group",Seed,,,,,,,Yes,Tech-driven backoffice for alternative investments,,kanastra.com.br,$1M to $10M,Early Stage Venture,4,"Uberlândia, Minas Gerais, Brazil, South America",2022,kanastra,24495.0,kanastra,kanastra.com.br,Fazer Teste de Aderência,610,12,Nao tivemos acesso
Espresso Controle de Despesas,https://www.crunchbase.com/organization/espresso-controle-de-despesas,Seed Round - Espresso Controle de Despesas,https://www.crunchbase.com/funding_round/espresso-controle-de-despesas-seed--0adb2f2b,,USD,,Seed,"Apps, B2B, Finance, FinTech, Mobile, SaaS, Software",2022-12-28,SaaSholic,SaaSholic,Seed,,,,,,,Yes,Espresso Controle de Despesas develops a mobile application to automate and streamline business expenses.,,espressoapp.com.br,,Seed,5,"Uberlândia, Minas Gerais, Brazil, South America",2022,espressocontrolededespesas,10424.0,espresso,espressoapp.com.br,Discard,610,12,Pendente Classificação
GoGood,https://www.crunchbase.com/organization/go-good,Seed Round - GoGood,https://www.crunchbase.com/funding_round/go-good-seed--17f8cb1b,,USD,,Seed,"Analytics, Gamification, Health Care, Human Resources, Information Services, Information Technology, Personal Health, Wellness",2022-12-29,Dasa,Dasa,Seed,,,,50000000.0,BRL,9458769.0,Yes,"GoGood is a corporate wellness marketplace that offers access to gyms, psychologists and nutritionists with up to 70% in discounts.",,gogood.com.br,Less than $1M,Seed,3,"Florianópolis, Santa Catarina, Brazil, South America",2022,gogood,775.0,gogood,gogood.com.br,Discard,609,12,Pendente Classificação
allu.,https://www.crunchbase.com/organization/allugator,Debt Financing - allu.,https://www.crunchbase.com/funding_round/allugator-debt-financing--8f1414b7,166380000.0,BRL,32044528.0,Debt Financing,"Consumer Electronics, FinTech, Leasing, Rental",2022-12-31,,,,62400000.0,BRL,11803204.0,,,,No,allu. is a one stop finance solution for leasing high end tech products and one of the fastest growing fintechs in Latam.,,allugator.com,$1M to $10M,,5,"Belo Horizonte, Minas Gerais, Brazil, South America",2022,allu.,1225.0,allugator,allugator.com,Discard,607,12,Pendente Classificação
PickNGo,https://www.crunchbase.com/organization/pickngo-5448,Seed Round - PickNGo,https://www.crunchbase.com/funding_round/pickngo-5448-seed--1076875a,1060000.0,BRL,200512.0,Seed,"Delivery Service, Fleet Management, Food and Beverage, Food Delivery",2023-01-01,Bossanova Investimentos,"Bossanova Investimentos, Cedro Capital, Christiano Guimarães, Raja Valley, SEBRAE - SC",Seed,1060000.0,BRL,200511.0,8000000.0,BRL,1513296.0,Yes,PickNGo is a streamlining last-mile food delivery with SaaS fleet management.,,pickngo.com.br,,Seed,1,"Brasilândia, Distrito Federal, Brazil, South America",2023,pickngo,20632.0,pickngo,pickngo.online,Zero,606,1,Em análise
