Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Organization Name Modified,id,name modified,url,stagename,Time Since Announced,Month,Classification
Trakto,https://www.crunchbase.com/organization/trakto-io,Pre Seed Round - Trakto,https://www.crunchbase.com/funding_round/trakto-io-pre-seed--26be94f8,1819807.0,USD,1819807.0,Pre-Seed,"Apps, Finance, Freelance, Graphic Design, Marketing, Publishing, Social Media, Software",2020-12-18,,Bossanova Investimentos,Seed,,,,,,,Yes,Trakto is an easy and complete online editor that allows you to create your whole marketing material in a super fast and fun way.,,trakto.io,$1M to $10M,Early Stage Venture,13,"Maceió, Alagoas, Brazil, South America",2020,trakto,9626.0,trakto,trakto.io,Discard,1350,12,Pendente Classificação
ViBe Saúde,https://www.crunchbase.com/organization/vivabem,Series A - ViBe Saúde,https://www.crunchbase.com/funding_round/vivabem-series-a--faada85b,12500000.0,USD,12500000.0,Series A,"Big Data, Business Intelligence, Electronic Health Record (EHR), Health Care, mHealth, Personal Health, Therapeutics, Wellness",2020-12-19,Webrock Ventures,Webrock Ventures,Early Stage Venture,10000000.0,USD,10000000.0,,,,Yes,Leading Brazilian Digital Health Platform: Telemedicine + Digital Therapeutics,,vibesaude.com,,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2020,vibesaúde,,,,Nao tivemos acesso,1349,12,Nao tivemos acesso
Oya.Care,https://www.crunchbase.com/organization/oya-care,Pre Seed Round - Oya.Care,https://www.crunchbase.com/funding_round/oya-care-pre-seed--ec3816c9,3000000.0,USD,3000000.0,Pre-Seed,Health Care,2020-12-19,,"Canary, IKJ Capital, SKBR",Seed,,,,,,,Yes,Oya Care is a disruptive virtual health clinic for women in Brazil.,,oya.care,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2020,oya.care,19566.0,oyacare,oya.care,Registered,1349,12,Nao tivemos acesso
Share,https://www.crunchbase.com/organization/share-3c49,Pre Seed Round - Share,https://www.crunchbase.com/funding_round/share-3c49-pre-seed--2dce80b8,500000.0,USD,500000.0,Pre-Seed,Education,2020-12-20,,rafael martins de oliveira,Seed,500000.0,USD,500000.0,8000000000.0,USD,8000000000.0,Yes,Somos uma social networking de educação.,,site.tudodeshare.com.br/clube-share,,Seed,1,"Porto Alegre, Rio Grande do Sul, Brazil, South America",2020,share,18158.0,share,tudodeshare.com.br,Discard,1348,12,Indefinido
Izis,https://www.crunchbase.com/organization/izis-digital,Angel Round - Izis,https://www.crunchbase.com/funding_round/izis-digital-angel--c5c01cb7,950000.0,BRL,176601.0,Angel,"Advertising, Analytics, Digital Marketing, Marketing, Social Media, Social Media Advertising, Social Media Management, Social Media Marketing, Software",2020-12-21,,Lucas Amorim,Seed,500000.0,BRL,97593.0,,,,Yes,Izis is growth marketing platform for mid and small business.,,izis.marketing,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2020,izis,,,,Nao tivemos acesso,1347,12,Nao tivemos acesso
Linker,https://www.crunchbase.com/organization/linker-f73c,Seed Round - Linker,https://www.crunchbase.com/funding_round/linker-f73c-seed--ecb783ad,12000000.0,BRL,2342240.0,Seed,"B2B, Banking, Finance, Financial Services",2020-12-21,,"Darwin Capital, Marcelo Sampaio, Roberto Nishikawa",Seed,12000000.0,BRL,2342240.0,,,,Yes,Linker is a digital platform that refers to a variety of payment and financial services as digital banking.,,linker.com.br,,M&A,1,"São Paulo, Sao Paulo, Brazil, South America",2020,linker,3658.0,linker,linker.com.br,Discard,1347,12,Pendente Classificação
iSun - Energy to go,https://www.crunchbase.com/organization/isun-energy-to-go,Pre Seed Round - iSun - Energy to go,https://www.crunchbase.com/funding_round/isun-energy-to-go-pre-seed--b593fd6f,,USD,,Pre-Seed,"Automotive, Clean Energy, Energy Efficiency, Sustainability",2020-12-22,,,Seed,,,,,,,Yes,"SaaS, Mobile App",,,,Seed,1,"Barretos, Sao Paulo, Brazil, South America",2020,isun-energytogo,,,,Nao tivemos acesso,1346,12,Nao tivemos acesso
Nomad,https://www.crunchbase.com/organization/nomad-deb4,Seed Round - Nomad,https://www.crunchbase.com/funding_round/nomad-deb4-seed--60d991fd,590000000.0,BRL,117515939.0,Seed,"Finance, Financial Services, FinTech",2020-12-22,monashees,"Guilherme Bonifacio, monashees, Montage Ventures",Seed,30000000.0,BRL,5813740.0,,,,Yes,Nomad is a fintech company that provides financial services such as a bank account and an investment platform.,,nomadglobal.com,$10M to $50M,Early Stage Venture,5,"São Paulo, Sao Paulo, Brazil, South America",2020,nomad,23131.0,nomad,,Fazer Teste de Aderência,1346,12,Nao tivemos acesso
Nomad,https://www.crunchbase.com/organization/nomad-deb4,Seed Round - Nomad,https://www.crunchbase.com/funding_round/nomad-deb4-seed--60d991fd,590000000.0,BRL,117515939.0,Seed,"Finance, Financial Services, FinTech",2020-12-22,monashees,"Guilherme Bonifacio, monashees, Montage Ventures",Seed,30000000.0,BRL,5813740.0,,,,Yes,Nomad is a fintech company that provides financial services such as a bank account and an investment platform.,,nomadglobal.com,$10M to $50M,Early Stage Venture,5,"São Paulo, Sao Paulo, Brazil, South America",2020,nomad,11081.0,nomad,nomadglobal.com,Discard,1346,12,Nao tivemos acesso
Lume Robotics,https://www.crunchbase.com/organization/lume-robotics,Seed Round - Lume Robotics,https://www.crunchbase.com/funding_round/lume-robotics-seed--e3d30c4d,1000000.0,BRL,191688.0,Seed,Autonomous Vehicles,2020-12-23,,FUNDEPAR,Seed,1000000.0,BRL,191688.0,,,,Yes,Lume Robotics solutions for autonomous vehicles are efficient and safe.,,lumerobotics.ai/#sobre,Less than $1M,Seed,1,"Victoria, Espirito Santo, Brazil, South America",2020,lumerobotics,10153.0,lumerobotics,lumerobotics.ai,Discard,1345,12,Indefinido
aFarma,https://www.crunchbase.com/organization/afarma-servicos-de-internet-e-drogaria-ltda,Pre Seed Round - aFarma,https://www.crunchbase.com/funding_round/afarma-servicos-de-internet-e-drogaria-ltda-pre-seed--830cb395,,USD,,Pre-Seed,"E-Commerce, Pharmaceutical",2020-12-23,,,Seed,,,,,,,Yes,A aFarma é a primeira drogaria digital especializada no público 60+.,,www2.afarma.app.br,,Seed,2,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2020,afarma,17820.0,afarma,www2.afarma.app.br,Discard,1345,12,Pendente Classificação
Tektura,https://www.crunchbase.com/organization/tektura,Pre Seed Round - Tektura,https://www.crunchbase.com/funding_round/tektura-pre-seed--8d513116,100000.0,USD,100000.0,Pre-Seed,"Construction, Real Estate",2020-12-24,,,Seed,100000.0,USD,100000.0,1800000.0,USD,1800000.0,Yes,Everything as a service for architects,,tektura.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2020,tektura,20420.0,tektura,tektura.com.br,Zero,1344,12,Em análise
FLOKI Technologies,https://www.crunchbase.com/organization/floki-technologies,Pre Seed Round - FLOKI Technologies,https://www.crunchbase.com/funding_round/floki-technologies-pre-seed--e734c3fa,11467360.0,USD,11467360.0,Pre-Seed,"Artificial Intelligence (AI), Fast-Moving Consumer Goods, Food and Beverage, Procurement, Restaurants, Software",2020-12-28,Iporanga Ventures,"Apontador Busca Local, Iporanga Ventures, Olist, VivaReal",Seed,650000.0,USD,650000.0,,,,Yes,Smart and Autonomous Procurement System for Fragmented Foodservice Retailers,,flokitech.com,,Seed,3,"São Paulo, Sao Paulo, Brazil, South America",2020,flokitechnologies,,,,Nao tivemos acesso,1340,12,Nao tivemos acesso
a55,https://www.crunchbase.com/organization/a55,Venture Round - a55,https://www.crunchbase.com/funding_round/a55-series-unknown--cca1207e,58766337.0,USD,58766337.0,Venture - Series Unknown,"Finance, Financial Services, FinTech, Information Technology",2020-12-28,,G2 Capital,,,,,,,,Yes,A55 is a developer of a financial underwriting platform used to offer a credit line system to companies with recurring revenue.,,a55.tech,$1M to $10M,Early Stage Venture,7,"São Paulo, Sao Paulo, Brazil, South America",2020,a55,23189.0,a55,,Registered,1340,12,Nao tivemos acesso
FIDD Group,https://www.crunchbase.com/organization/fidd-group,Seed Round - FIDD Group,https://www.crunchbase.com/funding_round/fidd-group-seed--abb19489,,USD,,Seed,Financial Services,2020-12-29,,2TM,Seed,,,,,,,Yes,FIDD Group is a financial technology company that provides financial services.,,fiddgroup.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2020,fiddgroup,21350.0,fiddgroup,fiddgroup.com,Zero,1339,12,Pendente Classificação
Loopa,https://www.crunchbase.com/organization/loopa-06c9,Seed Round - Loopa,https://www.crunchbase.com/funding_round/loopa-06c9-seed--23cf68ad,1743940.0,USD,1743940.0,Seed,"B2B, Credit, Financial Services, FinTech, Payments, Productivity Tools, Software",2020-12-30,Valor Capital Group,"Adalmiro Baptista Junior, Valor Capital Group",Seed,1343695.0,USD,1343695.0,,,,Yes,Loopa is an integrated financial management platform designed to track business transactions.,,loopa.digital,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2020,loopa,16212.0,loopa,loopa.digital,Discard,1338,12,Pendente Classificação
ARVORE,https://www.crunchbase.com/organization/arvore,Venture Round - ARVORE,https://www.crunchbase.com/funding_round/arvore-series-unknown--b4a3f681,7300000.0,USD,7300000.0,Venture - Series Unknown,"Media and Entertainment, Video Games, Virtual Reality",2020-12-31,Kashmir Investments Ltd.,Kashmir Investments Ltd.,,1500000.0,USD,1500000.0,30500000.0,USD,30500000.0,Yes,"ARVORE is an immersive storytelling company that creates, designs, produces, and develops interactive experiences and games.",,arvore.io,,,5,"São Paulo, Sao Paulo, Brazil, South America",2020,arvore,,,,Nao tivemos acesso,1337,12,Nao tivemos acesso
allu.,https://www.crunchbase.com/organization/allugator,Debt Financing - allu.,https://www.crunchbase.com/funding_round/allugator-debt-financing--5d8c085c,166380000.0,BRL,32044528.0,Debt Financing,"Consumer Electronics, FinTech, Leasing, Rental",2020-12-31,,,,7420000.0,BRL,1428681.0,,,,No,allu. is a one stop finance solution for leasing high end tech products and one of the fastest growing fintechs in Latam.,,allugator.com,$1M to $10M,,5,"Belo Horizonte, Minas Gerais, Brazil, South America",2020,allu.,1225.0,allugator,allugator.com,Discard,1337,12,Pendente Classificação
SuperSim,https://www.crunchbase.com/organization/supersim,Non Equity Assistance - SuperSim,https://www.crunchbase.com/funding_round/supersim-non-equity-assistance--c59d2a23,30641509.0,USD,30641509.0,Non-equity Assistance,"Finance, Financial Services, FinTech",2021-01-01,,Newchip Accelerator,,,,,,,,No,SuperSim is a financial institution that offers personal loans and other related products and services online.,,supersim.com.br,$1M to $10M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,supersim,10177.0,supersim,supersim.com.br,Discard,1336,1,Indefinido
Legislapp,https://www.crunchbase.com/organization/legislapp-7d18,Pre Seed Round - Legislapp,https://www.crunchbase.com/funding_round/legislapp-7d18-pre-seed--78b32cc7,187412.0,BRL,36087.0,Pre-Seed,"Apps, Big Data, Government, Public Relations, Software",2021-01-01,Deltapoint,Deltapoint,Seed,187412.0,BRL,36086.0,74965068.0,BRL,14434680.0,Yes,Legislative Monitor and Governmental Intelligence Multiplatform,,legislapp.com.br,,Seed,1,"Sobradinho, Distrito Federal, Brazil, South America",2021,legislapp,22592.0,legislapp,legislapp.com.br,Discard,1336,1,Indefinido
Flowins,https://www.crunchbase.com/organization/flowins,Seed Round - Flowins,https://www.crunchbase.com/funding_round/flowins-seed--e852568e,,USD,,Seed,Agriculture,2021-01-01,,Bossanova Investimentos,Seed,,,,,,,Yes,"Flowins is a technology company with a young and innovative spirit that develops simple, secure and digital solutions.",,flowins.me,,Seed,2,"Três Pontas, Minas Gerais, Brazil, South America",2021,flowins,3818.0,flowins,flowins.me,Discard,1336,1,Pendente Classificação
Unail,https://www.crunchbase.com/organization/unail,Venture Round - Unail,https://www.crunchbase.com/funding_round/unail-series-unknown--cf4917ef,,USD,,Venture - Series Unknown,"Beauty, Leisure, Lifestyle, Personal Health",2021-01-01,,Bossanova Investimentos,,,,,,,,Yes,"Unail is an application that brings the manicure to you and specializes in nail, massage, waxing, and eyebrow.",,unail.com.br,,,1,"São Paulo, Sao Paulo, Brazil, South America",2021,unail,11173.0,unail,unail.com.br,Discard,1336,1,Pendente Classificação
Principia Capital Partners,https://www.crunchbase.com/organization/principia-capital-management,Seed Round - Principia Capital Partners,https://www.crunchbase.com/funding_round/principia-capital-management-seed--c9a4a577,,USD,,Seed,Financial Services,2021-01-01,,,Seed,,,,,,,Yes,Principia Capital Partners is a private equity platform.,,principiacp.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,principiacapitalpartners,24797.0,principiacapitalpartners,principiacp.com,Monitoramento,1336,1,Pendente Classificação
Appbar,https://www.crunchbase.com/organization/appbar,Seed Round - Appbar,https://www.crunchbase.com/funding_round/appbar-seed--9e0625a9,,USD,,Seed,"Food and Beverage, Mobile Apps, Wine And Spirits",2021-01-01,ZX Ventures,ZX Ventures,Seed,,,,,,,Yes,"Appbar is a mobile application that offers to deliver beer, distillates, wine, and snacks.",,appbar.com.ar,,Seed,1,"Argentina, Sao Paulo, Brazil, South America",2021,appbar,,,,Nao tivemos acesso,1336,1,Nao tivemos acesso
Gama Ensino,https://www.crunchbase.com/organization/gama-ensino,Seed Round - Gama Ensino,https://www.crunchbase.com/funding_round/gama-ensino-seed--c331106c,,USD,,Seed,"Software, Software Engineering",2021-01-01,,Bossanova Investimentos,Seed,,,,,,,Yes,Gama Ensino helps students pass their dream university in record time through a personalized preparation experience.,,gamaprevest.com,,Seed,1,"Vitória, Piaui, Brazil, South America",2021,gamaensino,19695.0,gamaensino,gamaensino.com,Discard,1336,1,Pendente Classificação
Atlas Governance,https://www.crunchbase.com/organization/atlas-governance,Seed Round - Atlas Governance,https://www.crunchbase.com/funding_round/atlas-governance-seed--293f0dcf,36600000.0,BRL,6958973.0,Seed,Software,2021-01-01,,"Leonardo Pereira, Paulo Camargo, Wilson Amaral",Seed,4100000.0,BRL,789463.0,54000000.0,BRL,10397812.0,Yes,Atlas is a software developer focused on board portals and other solutions for the boards of directors.,,atlasgov.com,,Early Stage Venture,6,"São Paulo, Sao Paulo, Brazil, South America",2021,atlasgovernance,10587.0,atlasgovernance,welcome.atlasgov.com,Discard,1336,1,Indefinido
Knewin,https://www.crunchbase.com/organization/knewin,Series A - Knewin,https://www.crunchbase.com/funding_round/knewin-series-a--041260be,56400000.0,BRL,12220708.0,Series A,"Analytics, Information Technology, Internet, Machine Learning, News, Public Relations, Publishing, Social Media Marketing, Social News, Software",2021-01-01,Oria Capital,Oria Capital,Early Stage Venture,40000000.0,BRL,7702083.0,,,,Yes,Knewin is the biggest PR Tech company in Latin America helping more than 2.000 clients to manage their reputation,,knewin.com,$10M to $50M,Early Stage Venture,3,"Florianópolis, Santa Catarina, Brazil, South America",2021,knewin,1622.0,knewin,site.knewin.com,Discard,1336,1,Nao tivemos acesso
FPass,https://www.crunchbase.com/organization/fpass,Seed Round - FPass,https://www.crunchbase.com/funding_round/fpass-seed--e6bab0be,4500000.0,BRL,835343.0,Seed,"Education, Information Technology, Web Design, Web Development",2021-01-01,,,Seed,1000000.0,BRL,192552.0,,,,Yes,"FPass operates a continuing education ecosystem, delivering a multidisciplinary and adaptive method.",,fpass.com.br,,Seed,5,"São Paulo, Sao Paulo, Brazil, South America",2021,fpass,23856.0,fpass,fpass.com.br,P.Comitê 01,1336,1,Em análise
SuperSim,https://www.crunchbase.com/organization/supersim,Non Equity Assistance - SuperSim,https://www.crunchbase.com/funding_round/supersim-non-equity-assistance--c59d2a23,30641509.0,USD,30641509.0,Non-equity Assistance,"Finance, Financial Services, FinTech",2021-01-01,,Newchip Accelerator,,,,,,,,No,SuperSim is a financial institution that offers personal loans and other related products and services online.,,supersim.com.br,$1M to $10M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,supersim,17417.0,supersim,,Registered,1336,1,Indefinido
TideSat Global,https://www.crunchbase.com/organization/tidesat-global,Grant - TideSat Global,https://www.crunchbase.com/funding_round/tidesat-global-grant--96dda4d9,116327.0,USD,116327.0,Grant,"Environmental Consulting, Internet of Things, Remote Sensing, SaaS, Water",2021-01-01,European Commission,European Commission,,60000.0,EUR,72932.0,,,,No,"TideSat offers an innovative and complete system to monitor water level, including hardware and software.",,tidesatglobal.com,,,4,"Porto Alegre, Rio Grande do Sul, Brazil, South America",2021,tidesatglobal,,,,Nao tivemos acesso,1336,1,Nao tivemos acesso
Actio Brasil,https://www.crunchbase.com/organization/actio-brasil,Seed Round - Actio Brasil,https://www.crunchbase.com/funding_round/actio-brasil-seed--df7392a2,,USD,,Seed,"Human Resources, Management Consulting, Risk Management, Software",2021-01-01,,FALCONI,Seed,,,,,,,Yes,"Actio Brasil develops software that automates management methodologies, applied to the strategic layer of public & private organizations.",,actiosoftware.com,,Early Stage Venture,2,"Belo Horizonte, Minas Gerais, Brazil, South America",2021,actiobrasil,,,,Nao tivemos acesso,1336,1,Nao tivemos acesso
Sensix,https://www.crunchbase.com/organization/sensix-agro,Seed Round - Sensix,https://www.crunchbase.com/funding_round/sensix-agro-seed--84e634ad,1867277.0,USD,1867277.0,Seed,"Agriculture, AgTech, Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning",2021-01-01,,"DOMO.VC, Silver Angels",Seed,192500.0,USD,192500.0,,,,Yes,"Sensix uses analytical intelligence and machine learning to consolidate farming data, generating greater profitability for farmers.",,sensix.ag,$1M to $10M,,6,"Uberlândia, Minas Gerais, Brazil, South America",2021,sensix,3705.0,sensix,sensix.com.br,Onboarding,1336,1,Pendente Classificação
Apprentice City School Association,https://www.crunchbase.com/organization/apprentice-city-school-association,Grant - Apprentice City School Association,https://www.crunchbase.com/funding_round/apprentice-city-school-association-grant--dbf7fda9,,USD,,Grant,"Education, Non Profit",2021-01-01,,Imaginable Futures,,,,,,,,No,Apprentice City School Association develops and implements programs that promote community initiatives and influence education policies.,,cidadeescolaaprendiz.org.br,,,1,"São Paulo, Sao Paulo, Brazil, South America",2021,apprenticecityschoolassociation,,,,Nao tivemos acesso,1336,1,Nao tivemos acesso
"Yes, We Grow | Agricultura Urbana",https://www.crunchbase.com/organization/yes-we-grow-agricultura-urbana,"Angel Round - Yes, We Grow | Agricultura Urbana",https://www.crunchbase.com/funding_round/yes-we-grow-agricultura-urbana-angel--3545f5b7,1207656.0,USD,1207656.0,Angel,"Agriculture, Farming, Organic, Retail, Sales",2021-01-01,"Anjos do Brasil, Gávea Angels","Anjos do Brasil, Gávea Angels",Seed,3000000.0,BRL,577656.0,,,,Yes,"Yes, We Grow is a simple and efficient urban agriculture company that retails and sells seeds and plants online.",,yeswegrow.com.br,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2021,"yes,wegrow|agriculturaurbana",20422.0,yeswegrow,yeswegrow.com.br,Discard,1336,1,Indefinido
The New,https://www.crunchbase.com/organization/the-new-1f94,Seed Round - The New,https://www.crunchbase.com/funding_round/the-new-1f94-seed--71035054,,USD,,Seed,"Alternative Protein, Food and Beverage, Plant-Based Foods",2021-01-01,,West Quad Ventures,Seed,,,,,,,Yes,"The New a Brazilian foodtech which produces vegetable meats made from peas, with coconut fat, gluten-free and without added sugar.",,thenewfoods.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,thenew,22396.0,thenewfoods,thenewfoods.com.br,Fazer Teste de Aderência,1336,1,Nao tivemos acesso
IDGeo - Inteligência Agrícola,https://www.crunchbase.com/organization/idgeo-inteligência-agrícola,Non Equity Assistance - IDGeo - Inteligência Agrícola,https://www.crunchbase.com/funding_round/idgeo-inteligência-agrícola-non-equity-assistance--ee7f9b94,5700000.0,BRL,1336694.0,Non-equity Assistance,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Software",2021-01-01,,Newchip Accelerator,,,,,,,,No,IDGeo offers agricultural management solutions to increase the efficiency and profitability of your crop.,,idgeo.com.br,,Seed,4,"Piracicaba, Sao Paulo, Brazil, South America",2021,idgeo-inteligênciaagrícola,9540.0,idgeo,idgeo.com.br,Discard,1336,1,Pendente Classificação
Intexfy,https://www.crunchbase.com/organization/intexfy,Pre Seed Round - Intexfy,https://www.crunchbase.com/funding_round/intexfy-pre-seed--3f9d02e1,600000.0,USD,600000.0,Pre-Seed,"Information Services, Information Technology, Software",2021-01-01,,,Seed,600000.0,USD,600000.0,,,,Yes,"Intexfy is a business intelligence platform that helps B2B businesses find new accounts, hit goals, and grow.",,intexfy.com,Less than $1M,,2,"Florianópolis, Santa Catarina, Brazil, South America",2021,intexfy,8382.0,intexfy-inteligênciademercado,intexfy.com,Discard,1336,1,Indefinido
Palenca,https://www.crunchbase.com/organization/palenca,Pre Seed Round - Palenca,https://www.crunchbase.com/funding_round/palenca-pre-seed--82cc4aae,2625000.0,USD,2625000.0,Pre-Seed,"Big Data, Computer, Software",2021-01-01,,,Seed,,,,,,,Yes,Payroll API for LatAm,,palenca.com,,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2021,palenca,25499.0,palenca,palenca.com,Registered,1336,1,Nao tivemos acesso
Resilia,https://www.crunchbase.com/organization/resilia,Venture Round - Resilia,https://www.crunchbase.com/funding_round/resilia-series-unknown--b83a1ee3,,USD,,Venture - Series Unknown,"EdTech, Education, Training, Web Development",2021-01-01,,Beta Ventures,,,,,,,,Yes,Resilia is an EdTech company that offers courses in programming and behavioral skills.,,resilia.com.br,,,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2021,resilia,21382.0,resiliaeducação,resilia.com.br,Zero,1336,1,Pendente Classificação
Responde Ai,https://www.crunchbase.com/organization/responde-ai,Venture Round - Responde Ai,https://www.crunchbase.com/funding_round/responde-ai-series-unknown--9caf93fd,,USD,,Venture - Series Unknown,"Artificial Intelligence (AI), E-Learning, Education, Internet, Software",2021-01-01,,Beta Ventures,,,,,,,,Yes,Responde Ai is an online platform that helps college students optimize studies and have better test scores.,,respondeai.com.br,Less than $1M,Seed,3,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2021,respondeai,1184.0,respondeaí,respondeai.com.br,Discard,1336,1,Pendente Classificação
Jatai,https://www.crunchbase.com/organization/jatai,Grant - Jatai,https://www.crunchbase.com/funding_round/jatai-grant--a8d0dc6f,,USD,,Grant,"Non Profit, Technical Support",2021-01-01,,Imaginable Futures,,,,,,,,No,Jatai offers technical support for public organizations to become more agile in adapting to the digital and sustainable world.,,jatai.org.br,,,1,"São Paulo, Sao Paulo, Brazil, South America",2021,jatai,,,,Nao tivemos acesso,1336,1,Nao tivemos acesso
Metropole 4,https://www.crunchbase.com/organization/metropole-4,Angel Round - Metropole 4,https://www.crunchbase.com/funding_round/metropole-4-angel--3b94cbd2,150000.0,USD,150000.0,Angel,"Advertising, Advertising Platforms, Brand Marketing",2021-01-01,Anjos do Brasil,Anjos do Brasil,Seed,,,,,,,Yes,Metropole 4 is an advertising services company that connects brands to digital influencers with different profiles.,,metropole4.com,,Seed,3,"Belo Horizonte, Minas Gerais, Brazil, South America",2021,metropole4,11193.0,metropole4,metropole4.com,Discard,1336,1,Indefinido
Singularities Institute,https://www.crunchbase.com/organization/instituto-singularidades,Grant - Singularities Institute,https://www.crunchbase.com/funding_round/instituto-singularidades-grant--f1b74e50,,USD,,Grant,"Education, Higher Education, Training",2021-01-01,,Imaginable Futures,,,,,,,,No,Singularities Institute is a training institution for teachers.,,institutosingularidades.edu.br,,,1,"São Paulo, Sao Paulo, Brazil, South America",2021,singularitiesinstitute,,,,Nao tivemos acesso,1336,1,Nao tivemos acesso
mGrana,https://www.crunchbase.com/organization/mgrana,Venture Round - mGrana,https://www.crunchbase.com/funding_round/mgrana-series-unknown--7b9f113a,1600000.0,USD,1600000.0,Venture - Series Unknown,"Finance, Financial Services, FinTech",2021-01-01,,Dragon Capital,,,,,,,,Yes,mGrana is building a neobank for Brazil and Latam's financially underserved.,,mgrana.com,$1M to $10M,,4,"São Paulo, Sao Paulo, Brazil, South America",2021,mgrana,1715.0,mgrana,mgrana.com,Discard,1336,1,Pendente Classificação
Cyns,https://www.crunchbase.com/organization/cyns,Angel Round - Cyns,https://www.crunchbase.com/funding_round/cyns-angel--f852e3fe,,USD,,Angel,Biotechnology,2021-01-01,Lambarin Investimentos,Lambarin Investimentos,Seed,,,,,,,Yes,Cyns is a provider of Hermetia illucens-derived chemicals.,,cyns.com.br,,Seed,2,"Terezinha, Mato Grosso do Sul, Brazil, South America",2021,cyns,,,,Nao tivemos acesso,1336,1,Nao tivemos acesso
Mercado Bitcoin,https://www.crunchbase.com/organization/mercado-bitcoin,Series A - Mercado Bitcoin,https://www.crunchbase.com/funding_round/mercado-bitcoin-series-a--b21c0a17,,USD,,Series A,"Bitcoin, Cryptocurrency, Financial Exchanges, FinTech",2021-01-01,"G2D Investments, GP Investments, Parallax Ventures","DealMaker, Evora Equity, G2D Investments, Gear Ventures, GP Investments, JP Morgan, Parallax Ventures",Early Stage Venture,,,,,,,Yes,"Mercado Bitcoin is a cryptocurrency exchange platform that allows people to trade cryptocurrency, digital assets, and other tokens.",,mercadobitcoin.com.br,$1M to $10M,Late Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,mercadobitcoin,12241.0,mercadobitcoin,mercadobitcoin.com.br,Registered,1336,1,Nao tivemos acesso
Mercado Bitcoin,https://www.crunchbase.com/organization/mercado-bitcoin,Series A - Mercado Bitcoin,https://www.crunchbase.com/funding_round/mercado-bitcoin-series-a--b21c0a17,,USD,,Series A,"Bitcoin, Cryptocurrency, Financial Exchanges, FinTech",2021-01-01,"G2D Investments, GP Investments, Parallax Ventures","DealMaker, Evora Equity, G2D Investments, Gear Ventures, GP Investments, JP Morgan, Parallax Ventures",Early Stage Venture,,,,,,,Yes,"Mercado Bitcoin is a cryptocurrency exchange platform that allows people to trade cryptocurrency, digital assets, and other tokens.",,mercadobitcoin.com.br,$1M to $10M,Late Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,mercadobitcoin,6525.0,mercadobitcoin,mercadobitcoin.com.br,Cadastro Startup,1336,1,Pendente Classificação
Solubio Agricultural Technologies,https://www.crunchbase.com/organization/solubio-agricultural-technologies,Debt Financing - Solubio Agricultural Technologies,https://www.crunchbase.com/funding_round/solubio-agricultural-technologies-debt-financing--98cce7fc,27000000.0,BRL,5178084.0,Debt Financing,Manufacturing,2021-01-01,,Brasil Venture Debt,,13500000.0,BRL,2599453.0,,,,No,Solubio Agricultural Technologies is a biopesticide manufacturing company that creates an integrated on-farm management system.,,solubio.agr.br,,Seed,3,"Jataí, Goias, Brazil, South America",2021,solubioagriculturaltechnologies,2124.0,solubio,solubio.agr.br,Discard,1336,1,Pendente Classificação
Contemplato,https://www.crunchbase.com/organization/contemplato,Pre Seed Round - Contemplato,https://www.crunchbase.com/funding_round/contemplato-pre-seed--016196f8,,USD,,Pre-Seed,"CRM, Data Integration, Financial Services, FinTech, Professional Services",2021-01-01,,,Seed,,,,,,,Yes,Contemplato is fintech provides efficiency and liquidity to the secondary consortium market.,,contemplato.com,,Seed,2,"Jardim Paulista, Sao Paulo, Brazil, South America",2021,contemplato,23859.0,contemplato,contemplato.com,Discard,1336,1,Pendente Classificação
