Organization Name,Total Funding Amount Currency (in USD),Funding Type,stagename,Analise descarte,,
Onze,"$9,977,785",Series A,Discard,Indefinido,,
Estoca,"$9,950,851",Series A,Discard,Não tivemos acesso,,
brain4care,"$9,720,000",Series A,Fazer Teste de Aderência,Não tivemos acesso,,
zMatch,"$9,680,167",Series A,Zero,Não tivemos acesso,,
Payface,"$9,631,604",Series A,Discard,Processo Lento,,
Frizata,"$9,500,000",Series A,,Não tivemos acesso,,
Zé Delivery,"$9,300,000",Series A,Registered,Não tivemos acesso,,
Mimic,"$9,104,515",Series A,Discard,Dúvida,,
Kenoby,"$9,032,957",Series A,Discard,Dúvida,,
CM Tecnologia,"$9,025,000",Series A,Discard,Não se aplica,,
Speedbird Aero,"$8,834,143",Series A,Portfolio,,,
Uello,"$8,482,566",Series A,Discard,Indefinido,,
Vittude,"$8,408,114",Series A,Discard,Dúvida,,
Jeitto,"$8,236,918",Series A,Discard,Indefinido,,
Winnin,"$8,000,000",Series A,,Não tivemos acesso,,
Partyou,"$7,881,870",Series A,Discard,Verdadeiro Negativo,,
B4A,"$7,782,058",Series A,Discard,Não se aplica,,
Amicci,"$7,732,905",Series A,Discard,Não tivemos acesso,,
virgo.inc,"$7,712,778",Series A,,Não tivemos acesso,,
Rede Vistorias,"$7,686,183",Series A,Portfolio,,,
Nextron Energia,"$7,542,835",Series A,Registered,Não tivemos acesso,,
Gênica,"$7,313,000",Series A,Zero,Não tivemos acesso,,
Guru,"$7,200,000",Series A,Discard,Indefinido,,
bxblue,"$7,018,775",Series A,Discard,Dúvida,,
Atlas Governance,"$6,958,973",Series A,Discard,Indefinido,,
Monkey Exchange,"$6,800,000",Series A,Discard,Não se aplica,,
Goomer,"$6,749,878",Series A,Portfolio,,,
Nexodata,"$6,654,751",Series A,Discard,Não se aplica,,
Aegro,"$6,542,910",Series A,Discard,Falso Negativo,,
Flormel,"$6,494,013",Series A,,Não tivemos acesso,,
Syos,"$6,451,701",Series A,Discard,Não se aplica,,
Hi Platform,"$6,430,159",Series A,Registered,Não tivemos acesso,,
Olga Ri,"$6,083,465",Series A,,Não tivemos acesso,,
Livance,"$5,942,384",Series A,Discard,Dúvida,,
Consorciei,"$5,933,779",Series A,Registered,Não tivemos acesso,,
ZAX,"$5,842,615",Series A,Discard,Não se aplica,,
BoxDelivery,"$5,800,000",Series A,Registered,Não tivemos acesso,,
Liqi Digital Assets,"$5,525,144",Series A,Discard,Não tivemos acesso,,
alt.bank,"$5,500,000",Series A,Discard,Não tivemos acesso,,
QueroQuitar,"$5,306,895",Series A,Discard,Falso Negativo,,
Bnex Retail Tech,"$5,200,000",Series A,,Não tivemos acesso,,
Rúmina,"$5,125,472",Series A,Discard,Não tivemos acesso,,
Nude,"$5,000,000",Series A,Registered,Não tivemos acesso,,
4intelligence,"$5,000,000",Series A,Discard,Dúvida,,
