,Organization Name,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised (in USD),Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Time Diff
8528,Principia,45619207.0,Series A,"EdTech, Financial Services, FinTech, Information Technology",2023-08-24,Valor Capital Group,Actyus,Early Stage Venture,10242123.0,,Yes,Financial Solutions Hub for Education,https://principia.net/,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2023,541.0
8529,Principia,45619207.0,Series A,"EdTech, Financial Services, FinTech, Information Technology",2023-08-24,Valor Capital Group,ARC Capital,Early Stage Venture,10242123.0,,Yes,Financial Solutions Hub for Education,https://principia.net/,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2023,541.0
8530,Principia,45619207.0,Series A,"EdTech, Financial Services, FinTech, Information Technology",2023-08-24,Valor Capital Group,FJ Labs,Early Stage Venture,10242123.0,,Yes,Financial Solutions Hub for Education,https://principia.net/,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2023,541.0
8531,Principia,45619207.0,Series A,"EdTech, Financial Services, FinTech, Information Technology",2023-08-24,Valor Capital Group,Scale-Up Ventures,Early Stage Venture,10242123.0,,Yes,Financial Solutions Hub for Education,https://principia.net/,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2023,541.0
8532,Principia,45619207.0,Series A,"EdTech, Financial Services, FinTech, Information Technology",2023-08-24,Valor Capital Group,Spectra Investments,Early Stage Venture,10242123.0,,Yes,Financial Solutions Hub for Education,https://principia.net/,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2023,541.0
8533,Principia,45619207.0,Series A,"EdTech, Financial Services, FinTech, Information Technology",2023-08-24,Valor Capital Group,Supera Capital,Early Stage Venture,10242123.0,,Yes,Financial Solutions Hub for Education,https://principia.net/,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2023,541.0
8534,Principia,45619207.0,Series A,"EdTech, Financial Services, FinTech, Information Technology",2023-08-24,Valor Capital Group,Valor Capital Group,Early Stage Venture,10242123.0,,Yes,Financial Solutions Hub for Education,https://principia.net/,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2023,541.0
8535,Principia,45619207.0,Debt Financing,"EdTech, Financial Services, FinTech, Information Technology",2023-08-24,,Fundos de Investimentos em Direitos Creditórios,,30726371.0,,No,Financial Solutions Hub for Education,https://principia.net/,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2023,0.0
8537,Printi,56200000.0,Series A,"Asset Management, B2B, Commercial, E-Commerce, Information Technology, Internet, Marketing, Printing",2012-08-08,,Cap-Meridian Ventures,Early Stage Venture,1200000.0,,Yes,Printi is a B2B e-commerce company that aims on breaking the lack of transparency and efficiency in printed products.,https://www.printi.com.br/,$50M to $100M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2012,
8538,Printi,56200000.0,Series A,"Asset Management, B2B, Commercial, E-Commerce, Information Technology, Internet, Marketing, Printing",2012-08-08,,Fabrice Grinda,Early Stage Venture,1200000.0,,Yes,Printi is a B2B e-commerce company that aims on breaking the lack of transparency and efficiency in printed products.,https://www.printi.com.br/,$50M to $100M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2012,
8539,Printi,56200000.0,Series A,"Asset Management, B2B, Commercial, E-Commerce, Information Technology, Internet, Marketing, Printing",2012-08-08,,Florian Otto,Early Stage Venture,1200000.0,,Yes,Printi is a B2B e-commerce company that aims on breaking the lack of transparency and efficiency in printed products.,https://www.printi.com.br/,$50M to $100M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2012,
8540,Printi,56200000.0,Series A,"Asset Management, B2B, Commercial, E-Commerce, Information Technology, Internet, Marketing, Printing",2012-08-08,,Jose Marin,Early Stage Venture,1200000.0,,Yes,Printi is a B2B e-commerce company that aims on breaking the lack of transparency and efficiency in printed products.,https://www.printi.com.br/,$50M to $100M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2012,
