,Organization Name,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised (in USD),Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Time Diff
1029,B2B Stack,,Angel,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2019-10-01,SaaSholic,SaaSholic,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2019,183.0
1030,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2020-12-01,SaaSholic,Cátia Tokoro,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2020,427.0
1031,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2020-12-01,SaaSholic,Derek Hall,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2020,427.0
1032,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2020-12-01,SaaSholic,Kika Ricciardi,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2020,427.0
1033,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2020-12-01,SaaSholic,Ricardo Feferbaum,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2020,427.0
1034,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2020-12-01,SaaSholic,SaaSholic,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2020,427.0
1035,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2021-12-23,Seed9,Ana Silvia Matte,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2021,387.0
1036,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2021-12-23,Seed9,Arturo Besquin,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2021,387.0
1037,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2021-12-23,Seed9,Bossanova Investimentos,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2021,387.0
1038,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2021-12-23,Seed9,David Byrne,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2021,387.0
1039,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2021-12-23,Seed9,Fabien Dupuis,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2021,387.0
1040,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2021-12-23,Seed9,Francisco Sarmento,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2021,387.0
1041,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2021-12-23,Seed9,Kelly Ford,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2021,387.0
1042,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2021-12-23,Seed9,Launch Africa,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2021,387.0
1043,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2021-12-23,Seed9,Magdalena Przelaskowska,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2021,387.0
1044,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2021-12-23,Seed9,Polipo Ventures,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2021,387.0
1045,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2021-12-23,Seed9,Ross Faragher-Thomas,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2021,387.0
1046,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2021-12-23,Seed9,Seed9,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2021,387.0
1047,B2B Stack,,Pre-Seed,"B2B, E-Commerce, Enterprise Software, Information Technology, Marketplace, SaaS, Software",2021-12-23,Seed9,Steffen Ehrhardt,Seed,,,Yes,B2B Stack is the Latam leading marketplace for B2B software buying and selling.,https://www.b2bstack.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2021,387.0
1048,B2BHotel,50297.0,Pre-Seed,"B2B, Hospitality, Hotel, Human Resources",2021-06-30,VENTIUR,VENTIUR,Seed,50296.0,,Yes,"Management, Control and Organization of the whole process of hiring extra labor for the Hotel Industry.",https://www.b2bhotel.com.br/,,Seed,1,"Curitiba, Parana, Brazil, South America",2021,
1050,B4A,7782058.0,Seed,"Beauty, E-Commerce, Internet",2021-05-13,AcNext Capital,AcNext Capital,Seed,1883629.0,,Yes,"B4A is redefining the beauty industry in Brazil, the world's 4th largest beauty market.",http://www.b4agroup.com,Less than $1M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2021,
1051,B4A,7782058.0,Seed,"Beauty, E-Commerce, Internet",2021-05-13,AcNext Capital,Donato Ramos,Seed,1883629.0,,Yes,"B4A is redefining the beauty industry in Brazil, the world's 4th largest beauty market.",http://www.b4agroup.com,Less than $1M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2021,
1052,B4A,7782058.0,Seed,"Beauty, E-Commerce, Internet",2021-05-13,AcNext Capital,Olivier Grinda,Seed,1883629.0,,Yes,"B4A is redefining the beauty industry in Brazil, the world's 4th largest beauty market.",http://www.b4agroup.com,Less than $1M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2021,
1053,B4A,7782058.0,Seed,"Beauty, E-Commerce, Internet",2021-05-13,AcNext Capital,Stephano Gabriel,Seed,1883629.0,,Yes,"B4A is redefining the beauty industry in Brazil, the world's 4th largest beauty market.",http://www.b4agroup.com,Less than $1M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2021,
1054,B4A,7782058.0,Series A,"Beauty, E-Commerce, Internet",2022-05-02,DXA Invest,AcNext Capital,Early Stage Venture,5898429.0,,Yes,"B4A is redefining the beauty industry in Brazil, the world's 4th largest beauty market.",http://www.b4agroup.com,Less than $1M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2022,354.0
1055,B4A,7782058.0,Series A,"Beauty, E-Commerce, Internet",2022-05-02,DXA Invest,DXA Invest,Early Stage Venture,5898429.0,,Yes,"B4A is redefining the beauty industry in Brazil, the world's 4th largest beauty market.",http://www.b4agroup.com,Less than $1M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2022,354.0
1056,B4Waste,2381119.0,Seed,"Food and Beverage, Marketplace, Waste Management",2022-09-06,GLOCAL,Alexandre Rappaport,Seed,381119.0,,Yes,B4Waste is a food waste management company that offers products close to expiration at attractive prices.,https://www.b4waste.com.br,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2022,
1057,B4Waste,2381119.0,Seed,"Food and Beverage, Marketplace, Waste Management",2022-09-06,GLOCAL,Ene2 Participações,Seed,381119.0,,Yes,B4Waste is a food waste management company that offers products close to expiration at attractive prices.,https://www.b4waste.com.br,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2022,
1058,B4Waste,2381119.0,Seed,"Food and Beverage, Marketplace, Waste Management",2022-09-06,GLOCAL,GLOCAL,Seed,381119.0,,Yes,B4Waste is a food waste management company that offers products close to expiration at attractive prices.,https://www.b4waste.com.br,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2022,
1059,B4Waste,2381119.0,Seed,"Food and Beverage, Marketplace, Waste Management",2022-09-06,GLOCAL,Pierre Berenstein,Seed,381119.0,,Yes,B4Waste is a food waste management company that offers products close to expiration at attractive prices.,https://www.b4waste.com.br,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2022,
1060,B4Waste,2381119.0,Seed,"Food and Beverage, Marketplace, Waste Management",2022-09-06,GLOCAL,Rodrigo Rodrigues,Seed,381119.0,,Yes,B4Waste is a food waste management company that offers products close to expiration at attractive prices.,https://www.b4waste.com.br,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2022,
1062,B8 Cargo,,Non-equity Assistance,"Logistics, Service Industry, Transportation",2019-04-01,Google for Startups,Google for Startups,,,,No,"B8 Cargo is a logistic firm that offers advance services related to transportation, trucking, and rail roads.",http://www.b8cargo.com.br/,,,1,"São Paulo, Sao Paulo, Brazil, South America",2019,
1063,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,Aleksander Leonard Larsen,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1064,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,Arca,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1065,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,Arrington XRP Capital,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1066,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,Ascensive Assets,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1067,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,BITKRAFT Ventures,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1068,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,BitScale,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1069,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,Delphi Ventures,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1070,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,Eden Holdings,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1071,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,Fabric Ventures,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1072,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,Infinity Ventures Crypto,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1073,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,Jeffrey Zirlin,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1074,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,Morningstar Ventures,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1075,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,Nicholas Vale,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1076,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,ParaFi Capital,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1077,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,Sebastien Borget,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1078,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,SkyVision Capital,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1079,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,Valor Capital Group,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1080,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,Volt Capital,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1081,BAYZ,4000000.0,Seed,"Blockchain, Cryptocurrency, Metaverse",2021-12-09,Yield Guild Games,Yield Guild Games,Seed,4000000.0,,Yes,BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.,https://bayz.gg/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
1083,BBChain - Blockchain & Digital Assets,100000.0,Seed,"Blockchain, Information Services, Information Technology, Software",2020-06-19,,Pitang Agile IT S,Seed,100000.0,,Yes,"Expert in creating solutions for companies based on blockchain technology. Education, implementation processes and operational management.",https://www.bbchain.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2020,
1084,BBM Logística,,Private Equity,"B2C, Logistics, Transportation",2017-01-01,,Stratus Group,Private Equity,,,Yes,BBM is a logistics operator with end-to-end omnichannel solutions that range from raw materials to consumers.,https://www.bbmlogistica.com.br/,$50M to $100M,IPO,1,"São José Dos Pinhais, Parana, Brazil, South America",2017,
1085,BBNK,,Series A,"Banking, Financial Services, FinTech, Payments",2017-01-02,,BRQ,Early Stage Venture,,,Yes,BBNK is a white label banking platform that provides digital financial solutions.,https://bbnk.com.br,,Early Stage Venture,1,"São Paulo, Sao Paulo, Brazil, South America",2017,
1087,BEMAGRO,2069847.0,Seed,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Software",2024-02-20,CNH Industrial,Agroven Group,Seed,2069847.0,,Yes,BEMAGRO offers imaging solutions through artificial intelligence to promote productive and sustainable agriculture.,https://bemagro.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,
1088,BEMAGRO,2069847.0,Seed,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Software",2024-02-20,CNH Industrial,CNH Industrial,Seed,2069847.0,,Yes,BEMAGRO offers imaging solutions through artificial intelligence to promote productive and sustainable agriculture.,https://bemagro.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,
1089,BEMAGRO,2069847.0,Seed,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Software",2024-02-20,CNH Industrial,MM Agro International,Seed,2069847.0,,Yes,BEMAGRO offers imaging solutions through artificial intelligence to promote productive and sustainable agriculture.,https://bemagro.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,
1090,BEMAGRO,2069847.0,Seed,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Software",2024-02-20,CNH Industrial,Rural Ventures,Seed,2069847.0,,Yes,BEMAGRO offers imaging solutions through artificial intelligence to promote productive and sustainable agriculture.,https://bemagro.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,
1091,BHub,32635497.0,Seed,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-09-22,"monashees, Valor Capital Group",17Sigma,Seed,4400000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,
1092,BHub,32635497.0,Seed,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-09-22,"monashees, Valor Capital Group",Clocktower Technology Ventures,Seed,4400000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,
1093,BHub,32635497.0,Seed,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-09-22,"monashees, Valor Capital Group",EquitasVC,Seed,4400000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,
1094,BHub,32635497.0,Seed,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-09-22,"monashees, Valor Capital Group",Latitud,Seed,4400000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,
1095,BHub,32635497.0,Seed,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-09-22,"monashees, Valor Capital Group",Lee Fixel,Seed,4400000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,
1096,BHub,32635497.0,Seed,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-09-22,"monashees, Valor Capital Group",monashees,Seed,4400000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,
1097,BHub,32635497.0,Seed,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-09-22,"monashees, Valor Capital Group",Norte Ventures,Seed,4400000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,
1098,BHub,32635497.0,Seed,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-09-22,"monashees, Valor Capital Group",Picus Capital,Seed,4400000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,
1099,BHub,32635497.0,Seed,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-09-22,"monashees, Valor Capital Group",QED Investors,Seed,4400000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,
1100,BHub,32635497.0,Seed,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-09-22,"monashees, Valor Capital Group",Valor Capital Group,Seed,4400000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,
1101,BHub,32635497.0,Series A,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-12-14,,Clocktower Technology Ventures,Early Stage Venture,20800000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,83.0
1102,BHub,32635497.0,Series A,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-12-14,,Equitas Capital,Early Stage Venture,20800000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,83.0
1103,BHub,32635497.0,Series A,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-12-14,,monashees,Early Stage Venture,20800000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,83.0
1104,BHub,32635497.0,Series A,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-12-14,,Norte Ventures,Early Stage Venture,20800000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,83.0
1105,BHub,32635497.0,Series A,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-12-14,,Picus Capital,Early Stage Venture,20800000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,83.0
1106,BHub,32635497.0,Series A,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-12-14,,QED Investors,Early Stage Venture,20800000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,83.0
1107,BHub,32635497.0,Series A,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-12-14,,Scale-Up Ventures,Early Stage Venture,20800000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,83.0
1108,BHub,32635497.0,Series A,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-12-14,,Valor Capital Group,Early Stage Venture,20800000.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,83.0
1109,BHub,32635497.0,Series A,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2021-12-14,,Hedosophia,Early Stage Venture,,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2021,0.0
1110,BHub,32635497.0,Series A,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2022-09-27,,BFF Ventures,Early Stage Venture,7435497.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2022,287.0
1111,BHub,32635497.0,Series A,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2022-09-27,,monashees,Early Stage Venture,7435497.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2022,287.0
1112,BHub,32635497.0,Series A,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2022-09-27,,Moore Capital,Early Stage Venture,7435497.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2022,287.0
1113,BHub,32635497.0,Series A,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2022-09-27,,Norte Ventures,Early Stage Venture,7435497.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2022,287.0
